,codmunicipio,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNICIPIO,codptore,DPTO
227,15299,0,2,1,1,2,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,garagoa,15,Boyaca
228,15317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,guacamayas,15,Boyaca
229,15322,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,4,1,0,guateque,15,Boyaca
230,15325,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,guayata,15,Boyaca
231,15332,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,guican de la sierra,15,Boyaca
232,15362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,iza,15,Boyaca
233,15367,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,jenesano,15,Boyaca
234,15368,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,jerico,15,Boyaca
235,15380,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,la capilla,15,Boyaca
236,15403,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,la uvita,15,Boyaca
237,15407,0,0,0,1,1,0,0,0,2,0,1,2,0,0,2,1,0,0,0,1,1,villa de leyva,15,Boyaca
238,15425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,macanal,15,Boyaca
239,15442,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,maripi,15,Boyaca
240,15455,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,1,0,0,1,0,0,miraflores,15,Boyaca
241,15464,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,mongua,15,Boyaca
242,15466,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,mongui,15,Boyaca
243,15469,0,0,1,0,0,0,0,0,2,3,0,0,1,1,0,0,0,2,2,2,2,moniquira,15,Boyaca
244,15480,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,muzo,15,Boyaca
245,15491,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,1,1,1,1,nobsa,15,Boyaca
246,15494,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuevo colon,15,Boyaca
247,15500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,oicata,15,Boyaca
248,15507,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,otanche,15,Boyaca
249,15511,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,pachavita,15,Boyaca
250,15514,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,paez,15,Boyaca
251,15516,0,0,0,0,2,2,2,0,3,1,2,1,1,4,2,2,1,2,2,3,2,paipa,15,Boyaca
252,15518,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,pajarito,15,Boyaca
253,15522,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,panqueba,15,Boyaca
254,15531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pauna,15,Boyaca
255,15537,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,paz de rio,15,Boyaca
256,15542,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,pesca,15,Boyaca
257,15550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,pisba,15,Boyaca
258,15572,0,1,2,1,1,2,3,1,2,1,2,2,5,2,0,2,3,3,3,2,3,puerto boyaca,15,Boyaca
259,15580,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,quipama,15,Boyaca
260,15599,0,0,1,0,0,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,2,ramiriqui,15,Boyaca
261,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,raquira,15,Boyaca
262,15621,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,rondon,15,Boyaca
263,15632,0,0,0,0,0,1,1,0,0,2,0,1,1,0,1,0,0,0,0,0,1,saboya,15,Boyaca
264,15638,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,sachica,15,Boyaca
265,15646,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,samaca,15,Boyaca
266,15660,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,san eduardo,15,Boyaca
267,15664,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,san jose de pare,15,Boyaca
268,15667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,san luis de gaceno,15,Boyaca
269,15673,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,san mateo,15,Boyaca
270,15676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,san miguel de sema,15,Boyaca
271,15681,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,san pablo de borbur,15,Boyaca
272,15686,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,santana,15,Boyaca
273,15690,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,santa maria,15,Boyaca
274,15693,0,2,0,0,0,1,2,0,0,2,0,0,2,1,1,0,0,1,0,0,0,santa rosa de viterbo,15,Boyaca
275,15696,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,santa sofia,15,Boyaca
276,15720,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sativanorte,15,Boyaca
277,15740,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,siachoque,15,Boyaca
278,15753,1,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,0,0,1,soata,15,Boyaca
279,15755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,socota,15,Boyaca
280,15757,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,socha,15,Boyaca
281,15759,2,3,7,4,4,4,3,8,7,9,5,5,5,6,4,9,7,6,15,12,15,sogamoso,15,Boyaca
282,15761,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,somondoco,15,Boyaca
283,15762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,sora,15,Boyaca
284,15763,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sotaquira,15,Boyaca
285,15764,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,soraca,15,Boyaca
286,15774,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,susacon,15,Boyaca
287,15776,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,sutamarchan,15,Boyaca
288,15778,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,sutatenza,15,Boyaca
289,15790,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tasco,15,Boyaca
290,15798,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,tenza,15,Boyaca
291,15804,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,tibana,15,Boyaca
292,15806,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,tibasosa,15,Boyaca
293,15808,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,tinjaca,15,Boyaca
294,15810,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,tipacoque,15,Boyaca
295,15814,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,toca,15,Boyaca
296,15820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,topaga,15,Boyaca
297,15822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tota,15,Boyaca
298,15832,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,tunungua,15,Boyaca
299,15835,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,turmeque,15,Boyaca
300,15837,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,tuta,15,Boyaca
301,15839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,tutaza,15,Boyaca
302,15842,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,umbita,15,Boyaca
303,15861,0,0,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,1,0,ventaquemada,15,Boyaca
304,15897,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,zetaquira,15,Boyaca
305,15999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Boyaca
306,17001,23,16,19,27,18,20,21,18,21,29,30,28,27,34,34,32,26,35,49,38,46,manizales,17,Caldas
307,17013,1,1,0,0,1,2,1,1,1,1,2,1,4,3,1,1,2,3,1,1,1,aguadas,17,Caldas
308,17042,2,4,0,2,3,2,2,0,0,1,1,3,2,5,3,3,8,4,3,1,1,anserma,17,Caldas
309,17050,1,0,0,0,1,2,1,2,0,0,0,1,0,1,1,2,0,1,1,0,1,aranzazu,17,Caldas
310,17088,0,0,0,1,0,2,2,1,0,0,2,0,1,0,1,1,0,0,0,0,1,belalcazar,17,Caldas
311,17174,1,4,4,4,3,3,2,2,4,4,5,4,4,2,6,2,1,7,8,5,9,chinchina,17,Caldas
312,17272,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,filadelfia,17,Caldas
313,17380,2,2,3,2,5,3,4,6,9,4,4,4,4,6,7,5,4,4,8,7,5,la dorada,17,Caldas
314,17388,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,la merced,17,Caldas
315,17433,0,1,1,0,0,0,4,4,0,0,3,2,1,1,1,0,0,1,1,1,0,manzanares,17,Caldas
316,17442,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,marmato,17,Caldas
317,17444,0,0,0,0,2,0,0,0,0,0,1,1,2,0,2,1,0,2,0,0,1,marquetalia,17,Caldas
318,17486,1,2,0,0,1,1,0,1,0,0,2,1,2,3,0,3,0,2,2,2,2,neira,17,Caldas
319,17513,1,3,2,1,0,0,2,2,1,2,1,0,0,1,1,0,1,0,5,0,0,pacora,17,Caldas
320,17524,2,0,1,1,3,0,2,1,0,0,0,3,3,0,1,1,1,0,0,2,2,palestina,17,Caldas
321,17541,0,2,3,1,0,1,0,1,0,0,2,1,1,4,1,1,1,1,1,1,0,pensilvania,17,Caldas
322,17614,0,2,4,3,0,3,3,3,3,1,2,2,2,4,6,2,2,6,4,5,4,riosucio,17,Caldas
323,17616,0,0,0,0,0,2,0,2,0,0,3,0,1,1,2,0,2,2,0,1,1,risaralda,17,Caldas
324,17653,1,1,0,1,3,2,1,0,2,3,2,3,0,1,0,0,1,1,5,2,5,salamina,17,Caldas
325,17662,1,1,0,0,2,1,1,0,0,2,1,0,1,2,0,1,2,0,0,0,0,samana,17,Caldas
326,17665,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,san jose,17,Caldas
327,17777,0,2,1,0,2,3,2,1,2,2,2,3,1,2,1,2,0,2,4,5,5,supia,17,Caldas
328,17867,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,victoria,17,Caldas
329,17873,0,1,1,3,1,2,0,3,3,2,5,7,2,4,2,2,1,1,7,5,6,villamaria,17,Caldas
330,17877,0,0,1,0,1,1,0,1,1,1,0,2,0,0,2,1,0,1,1,2,1,viterbo,17,Caldas
331,17999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Caldas
332,18001,5,2,3,5,1,7,2,3,7,6,6,4,10,11,8,9,13,7,8,15,10,florencia,18,Caqueta
333,18029,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,albania,18,Caqueta
334,18094,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,belen de los andaquies,18,Caqueta
335,18150,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,cartagena del chaira,18,Caqueta
336,18205,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,curillo,18,Caqueta
337,18247,0,2,0,1,1,2,0,0,0,1,2,0,0,2,1,1,2,1,1,0,1,el doncello,18,Caqueta
338,18256,0,0,0,1,1,1,0,1,1,1,0,0,0,2,1,0,0,2,1,0,0,el paujil,18,Caqueta
339,18410,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,la montanita,18,Caqueta
340,18460,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,milan,18,Caqueta
341,18479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,morelia,18,Caqueta
342,18592,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,3,3,puerto rico,18,Caqueta
343,18610,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,san jose del fragua,18,Caqueta
344,18753,0,0,1,2,1,0,0,1,0,0,0,2,1,2,0,1,1,4,0,2,1,san vicente del caguan,18,Caqueta
345,18756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,solano,18,Caqueta
346,18785,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,solita,18,Caqueta
347,18860,2,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,valparaiso,18,Caqueta
348,18999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Caqueta
349,19001,4,13,10,5,13,9,13,17,16,14,13,12,19,20,17,24,22,32,24,30,25,popayan,19,Cauca
350,19022,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,almaguer,19,Cauca
351,19050,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,argelia,19,Cauca
352,19075,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,balboa,19,Cauca
353,19100,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,bolivar,19,Cauca
354,19110,0,0,0,0,0,0,1,0,0,3,0,0,2,1,2,0,1,1,2,1,1,buenos aires,19,Cauca
355,19130,1,1,1,0,1,0,0,0,0,1,0,0,4,2,0,2,0,0,0,0,0,cajibio,19,Cauca
356,19137,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,caldono,19,Cauca
357,19142,1,0,1,3,0,1,0,2,0,0,3,0,1,0,2,2,2,2,1,1,0,caloto,19,Cauca
358,19212,2,1,0,1,0,1,0,3,1,2,2,0,1,2,2,1,4,1,2,0,1,corinto,19,Cauca
359,19256,1,2,0,1,0,0,0,0,1,0,1,0,0,0,4,0,0,3,3,3,0,el tambo,19,Cauca
360,19290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,florencia,19,Cauca
361,19318,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,guapi,19,Cauca
362,19355,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,inza,19,Cauca
363,19364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,jambalo,19,Cauca
364,19392,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,la sierra,19,Cauca
365,19397,0,0,0,0,0,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,la vega,19,Cauca
366,19418,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,lopez de micay,19,Cauca
367,19450,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mercaderes,19,Cauca
368,19455,2,1,0,0,2,1,0,0,1,2,1,3,3,0,1,1,1,2,4,0,1,miranda,19,Cauca
369,19473,0,1,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,1,0,1,2,morales,19,Cauca
370,19513,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,1,2,0,1,0,0,padilla,19,Cauca
371,19517,0,0,0,1,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,paez,19,Cauca
372,19532,1,0,0,1,1,0,0,1,2,1,0,0,1,0,3,0,1,1,2,1,2,patia,19,Cauca
373,19548,0,0,1,1,1,0,1,0,1,1,1,0,1,0,2,2,1,1,1,1,1,piendamo - tunia,19,Cauca
374,19573,3,2,0,1,2,3,4,1,1,3,3,8,2,3,2,4,3,3,6,1,6,puerto tejada,19,Cauca
375,19585,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,purace,19,Cauca
376,19622,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,rosas,19,Cauca
377,19693,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,san sebastian,19,Cauca
378,19698,0,2,5,3,1,3,3,4,3,5,4,2,2,3,2,9,6,6,7,2,7,santander de quilichao,19,Cauca
379,19701,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,santa rosa,19,Cauca
380,19743,2,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,silvia,19,Cauca
381,19760,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0,1,0,sotara paispamba,19,Cauca
382,19780,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,suarez,19,Cauca
383,19807,2,0,1,2,1,0,0,1,0,0,3,0,3,2,2,4,2,2,2,2,0,timbio,19,Cauca
384,19809,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,timbiqui,19,Cauca
385,19821,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,toribio,19,Cauca
386,19824,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,totoro,19,Cauca
387,20001,5,8,5,7,13,6,7,11,16,13,20,15,21,19,25,27,35,21,24,33,25,valledupar,20,Cesar
388,20011,2,0,0,1,1,2,0,1,0,1,3,2,1,3,4,4,2,5,3,2,9,aguachica,20,Cesar
389,20013,0,1,4,2,1,1,0,2,2,3,1,1,1,1,2,2,6,0,2,3,4,agustin codazzi,20,Cesar
390,20032,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1,astrea,20,Cesar
391,20045,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,2,0,0,2,becerril,20,Cesar
392,20060,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,2,2,0,0,1,5,bosconia,20,Cesar
393,20175,0,0,2,0,1,1,1,0,3,0,0,0,1,0,0,1,0,0,3,1,0,chimichagua,20,Cesar
394,20178,0,1,0,1,0,1,1,0,0,0,0,0,3,2,0,1,1,1,1,4,1,chiriguana,20,Cesar
395,20228,0,0,1,0,0,1,0,0,2,1,1,1,1,0,2,1,0,1,0,2,1,curumani,20,Cesar
396,20238,0,3,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,0,2,0,el copey,20,Cesar
397,20250,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,2,el paso,20,Cesar
398,20295,1,0,1,0,0,1,0,0,2,0,0,1,0,0,1,1,0,1,1,1,1,gamarra,20,Cesar
399,20310,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,gonzalez,20,Cesar
400,20383,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,2,la gloria,20,Cesar
401,20400,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,1,1,1,3,1,la jagua de ibirico,20,Cesar
402,20443,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,manaure balcon del cesar,20,Cesar
403,20517,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,1,2,0,1,pailitas,20,Cesar
404,20550,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,1,pelaya,20,Cesar
405,20570,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,pueblo bello,20,Cesar
406,20614,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,rio de oro,20,Cesar
407,20621,0,0,1,1,1,0,1,0,2,0,0,0,1,1,0,2,1,1,1,2,3,la paz,20,Cesar
408,20710,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,san alberto,20,Cesar
409,20750,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,1,san diego,20,Cesar
410,20770,1,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,3,0,0,0,2,san martin,20,Cesar
411,20787,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,5,0,0,0,tamalameque,20,Cesar
412,23001,10,9,14,13,7,10,7,11,13,17,13,20,20,30,33,28,33,27,37,28,40,monteria,23,Cordoba
413,23068,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,4,0,ayapel,23,Cordoba
414,23079,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,buenavista,23,Cordoba
415,23090,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,canalete,23,Cordoba
416,23162,0,0,2,3,4,2,2,2,1,4,1,3,5,1,3,1,1,2,4,7,4,cerete,23,Cordoba
417,23168,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,chima,23,Cordoba
418,23182,0,1,1,1,1,1,0,0,1,0,1,2,1,2,3,2,0,0,0,0,3,chinu,23,Cordoba
419,23189,1,0,1,4,0,0,1,1,3,1,1,3,3,1,3,3,4,1,4,0,3,cienaga de oro,23,Cordoba
420,23300,0,0,0,0,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,cotorra,23,Cordoba
421,23350,0,0,0,0,1,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,la apartada,23,Cordoba
422,23417,1,1,2,0,1,0,2,2,1,4,2,3,4,3,6,5,6,6,8,7,4,lorica,23,Cordoba
423,23419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,los cordobas,23,Cordoba
424,23464,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,momil,23,Cordoba
425,23466,0,0,1,0,0,1,0,0,1,0,0,0,3,0,2,3,2,1,2,5,3,montelibano,23,Cordoba
426,23500,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,monitos,23,Cordoba
427,23555,0,0,1,4,1,1,5,2,3,0,0,2,3,2,1,2,4,3,6,6,4,planeta rica,23,Cordoba
428,23570,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,1,1,1,0,1,pueblo nuevo,23,Cordoba
429,23574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,puerto escondido,23,Cordoba
430,23580,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,puerto libertador,23,Cordoba
431,23586,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,purisima de la concepcion,23,Cordoba
432,23660,3,0,1,4,1,2,2,3,3,1,2,3,5,2,5,1,3,5,5,6,5,sahagun,23,Cordoba
433,23670,0,0,0,0,0,2,0,0,1,0,1,0,1,1,2,0,0,0,2,1,1,san andres de sotavento,23,Cordoba
434,23672,0,0,2,0,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,1,1,san antero,23,Cordoba
435,23675,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,1,0,1,san bernardo del viento,23,Cordoba
436,23678,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,san carlos,23,Cordoba
437,23686,0,0,1,0,1,1,0,0,2,1,2,0,0,0,2,1,0,2,1,1,1,san pelayo,23,Cordoba
438,23807,0,0,1,0,1,1,1,1,1,3,1,0,0,0,5,0,4,3,1,3,3,tierralta,23,Cordoba
439,23855,0,0,0,0,0,0,1,1,2,0,1,1,1,0,3,1,2,1,0,0,0,valencia,23,Cordoba
440,25001,1,0,0,1,0,1,3,1,0,3,0,0,0,1,1,2,1,0,2,0,1,agua de dios,25,Cundinamarca
441,25019,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,alban,25,Cundinamarca
442,25035,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,2,0,0,1,1,1,anapoima,25,Cundinamarca
443,25040,0,0,1,0,1,1,1,0,0,0,0,1,0,1,2,1,0,0,1,0,0,anolaima,25,Cundinamarca
444,25053,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,1,2,3,0,0,arbelaez,25,Cundinamarca
445,25086,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,beltran,25,Cundinamarca
446,25095,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,bituima,25,Cundinamarca
447,25099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bojaca,25,Cundinamarca
448,25123,0,0,0,0,1,0,0,2,0,1,0,0,2,0,2,1,1,1,0,1,0,cachipay,25,Cundinamarca
449,25126,1,3,0,2,2,2,2,3,1,3,2,0,4,3,2,3,1,5,8,6,4,cajica,25,Cundinamarca
450,25148,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,caparrapi,25,Cundinamarca
451,25151,1,0,0,1,0,1,1,2,0,1,0,0,0,2,1,1,1,0,1,1,1,caqueza,25,Cundinamarca
452,25154,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,carmen de carupa,25,Cundinamarca
453,25168,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,chaguani,25,Cundinamarca
454,25175,5,0,3,5,5,5,3,4,9,1,5,8,6,6,10,6,4,9,12,6,10,chia,25,Cundinamarca
455,25178,0,0,0,2,0,0,0,1,0,2,0,1,0,0,0,1,0,2,1,1,0,chipaque,25,Cundinamarca
456,25181,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,2,2,1,0,1,choachi,25,Cundinamarca
457,25183,0,0,1,1,2,1,0,1,1,1,0,1,3,0,0,1,0,1,0,2,1,choconta,25,Cundinamarca
458,25200,0,1,0,2,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,cogua,25,Cundinamarca
