,codmunicipio,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNICIPIO,codptore,DPTO
52,05310,0,2,0,0,1,1,1,0,0,0,0,0,3,1,1,1,0,0,0,1,1,gomez plata,05,Antioquia
53,05313,1,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,1,0,granada,05,Antioquia
54,05315,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,guadalupe,05,Antioquia
55,05318,1,0,2,0,1,2,1,0,2,1,2,2,0,0,4,5,0,1,3,6,1,guarne,05,Antioquia
56,05321,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,guatape,05,Antioquia
57,05347,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,heliconia,05,Antioquia
58,05353,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,hispania,05,Antioquia
59,05360,12,18,8,14,10,10,18,19,15,12,10,16,21,11,16,14,17,16,23,28,25,itagui,05,Antioquia
60,05361,0,0,0,0,1,1,0,0,0,0,2,0,3,1,0,0,0,0,1,0,2,ituango,05,Antioquia
61,05364,2,0,0,1,2,0,1,2,0,0,0,1,0,1,2,0,1,4,1,0,1,jardin,05,Antioquia
62,05368,1,2,0,2,0,2,0,2,0,0,1,3,1,0,2,1,0,1,3,0,0,jerico,05,Antioquia
63,05376,1,6,0,1,0,3,1,3,3,3,7,3,2,3,5,3,1,4,4,4,7,la ceja,05,Antioquia
64,05380,4,0,3,2,2,1,4,7,3,3,1,2,2,3,3,3,4,2,6,1,6,la estrella,05,Antioquia
65,05390,0,0,0,2,0,1,0,0,1,0,2,1,0,2,0,0,0,1,1,0,0,la pintada,05,Antioquia
66,05400,0,1,0,0,0,0,1,0,0,1,1,2,1,0,0,1,0,1,1,2,2,la union,05,Antioquia
67,05411,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,2,1,0,2,0,1,liborina,05,Antioquia
68,05425,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,maceo,05,Antioquia
69,05440,0,2,2,2,0,1,1,0,1,1,1,4,1,0,2,2,5,0,2,2,5,marinilla,05,Antioquia
70,05467,0,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,montebello,05,Antioquia
71,05480,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,mutata,05,Antioquia
72,05483,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,narino,05,Antioquia
73,05490,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,4,0,1,0,1,1,necocli,05,Antioquia
74,05495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,nechi,05,Antioquia
75,05501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,olaya,05,Antioquia
76,05541,0,3,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,2,penol,05,Antioquia
77,05543,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,peque,05,Antioquia
78,05576,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,pueblorrico,05,Antioquia
79,05579,4,2,4,4,2,3,4,3,5,6,2,2,1,3,1,1,4,0,4,2,0,puerto berrio,05,Antioquia
80,05585,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,puerto nare,05,Antioquia
81,05591,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,2,puerto triunfo,05,Antioquia
82,05604,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,3,0,2,0,1,0,remedios,05,Antioquia
83,05607,0,1,2,2,0,0,2,0,0,0,1,0,1,0,0,0,0,3,1,2,2,retiro,05,Antioquia
84,05615,2,1,4,3,1,7,2,5,5,3,2,3,3,6,8,6,8,5,9,15,7,rionegro,05,Antioquia
85,05628,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,sabanalarga,05,Antioquia
86,05631,1,3,1,3,4,3,5,2,4,4,4,6,11,1,2,3,4,11,8,11,8,sabaneta,05,Antioquia
87,05642,0,0,1,0,2,1,3,0,1,1,0,1,2,0,0,2,2,0,1,1,1,salgar,05,Antioquia
88,05647,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,san andres de cuerquia,05,Antioquia
89,05649,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,san carlos,05,Antioquia
90,05652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,san francisco,05,Antioquia
91,05656,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,san jeronimo,05,Antioquia
92,05658,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,san jose de la montana,05,Antioquia
93,05660,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,san luis,05,Antioquia
94,05664,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,2,san pedro de los milagros,05,Antioquia
95,05665,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,1,1,san pedro de uraba,05,Antioquia
96,05667,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,san rafael,05,Antioquia
97,05670,0,1,0,0,1,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,san roque,05,Antioquia
98,05674,1,0,2,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,san vicente ferrer,05,Antioquia
99,05679,2,0,0,0,3,0,0,1,0,1,0,0,0,1,1,1,1,0,2,2,3,santa barbara,05,Antioquia
100,05686,0,2,1,0,2,1,0,1,1,0,1,0,2,1,3,2,1,0,0,0,1,santa rosa de osos,05,Antioquia
101,05690,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,santo domingo,05,Antioquia
102,05697,3,1,3,0,1,2,0,1,1,2,0,4,1,2,2,0,2,2,2,0,3,el santuario,05,Antioquia
103,05736,0,0,2,1,1,2,0,1,2,1,3,1,2,2,1,1,1,1,4,1,2,segovia,05,Antioquia
104,05756,1,3,4,3,1,2,2,5,2,1,3,3,4,2,3,1,1,2,2,4,4,sonson,05,Antioquia
105,05761,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2,2,0,0,sopetran,05,Antioquia
106,05789,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,tamesis,05,Antioquia
107,05790,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,1,taraza,05,Antioquia
