,DPMP,mort_1998,mort_1999,mort_2000,mort_2001,mort_2002,mort_2003,mort_2004,mort_2005,mort_2006,mort_2007,mort_2008,mort_2009,mort_2010,mort_2011,mort_2012,mort_2013,mort_2014,mort_2015,mort_2016,mort_2017,mort_2018,TAE_1998,TAE_1999,TAE_2000,TAE_2001,TAE_2002,TAE_2003,TAE_2004,TAE_2005,TAE_2006,TAE_2007,TAE_2008,TAE_2009,TAE_2010,TAE_2011,TAE_2012,TAE_2013,TAE_2014,TAE_2015,TAE_2016,TAE_2017,TAE_2018,MPIO
11,05044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.04166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,Anzá
12,05045,1.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,1.0,4.0,5.0,3.0,3.0,8.0,5.0,3.0,8.0,5.0,2.0,6.0,8.0,9.25,9.246235758636415,9.162127296744465,3.443557582668187,13.494886365951198,12.909743913416126,6.7557057465018335,19.748321258152977,5.352112676056338,10.954418976380513,15.526825371978546,8.432860168499037,6.978955460721782,25.72487431212545,13.763149034718293,7.7420998583315,16.40262029697917,11.210720529018147,4.045036740455397,12.369934803310802,17.140609687047206,Apartadó
13,05051,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,8.591916558018253,0.0,12.121896162528214,0.0,0.0,8.352344740177438,0.0,0.0,10.075046904315197,23.52765058119056,0.0,0.0,18.131786514852614,9.045725646123259,16.248108925869893,7.14792899408284,7.080890973036341,0.0,0.0,7.276422764227642,7.514253135689852,Arboletes
14,05055,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31.57142857142857,0.0,0.0,34.128440366972484,0.0,0.0,0.0,29.76,35.66265060240964,57.94721407624633,0.0,0.0,0.0,49.6064082278481,35.0,0.0,0.0,0.0,19.242424242424246,0.0,Argelia
15,05059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,21.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia
16,05079,3.0,2.0,3.0,2.0,3.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,2.0,5.0,2.0,21.53661519645314,10.981818181818182,14.717704109241186,11.389778549980345,17.629482825756554,6.867749419953596,22.154223097671007,4.348452123830094,5.735849056603773,0.0,0.0,9.899386763651808,5.083612040133779,18.32949286351729,10.725381955235882,8.066099910938386,3.3604135893648452,17.06034657636346,6.3120877170617335,15.770746502570702,6.635307035910035,Barbosa
17,05086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.92964824120603,0.0,49.33333333333334,47.74193548387097,0.0,0.0,0.0,38.64864864864865,0.0,0.0,0.0,0.0,Belmira
18,05088,19.0,19.0,18.0,26.0,16.0,26.0,19.0,25.0,31.0,20.0,16.0,31.0,20.0,20.0,28.0,26.0,32.0,32.0,28.0,43.0,38.0,16.84383403960704,14.185996116045764,12.618702270287697,16.716630467075916,10.145495840888325,15.716839134159947,10.616693594765794,14.259656859598817,17.632168317637557,9.969098231559405,7.826585534007161,14.264608113677578,8.895270230781424,8.84318356421072,11.449427793476618,10.298302599464481,12.640499096371927,11.625279692172526,10.067870187934973,14.431458709072102,12.69772587060958,Bello
19,05091,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.331550802139034,0.0,0.0,0.0,0.0,0.0,0.0,18.142857142857142,0.0,30.4,0.0,0.0,0.0,0.0,36.90905874026893,0.0,0.0,0.0,Betania
20,05093,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,26.666666666666664,0.0,18.581314878892734,0.0,0.0,13.02371541501976,0.0,0.0,0.0,16.789667896678967,0.0,18.728813559322035,15.564853556485355,0.0,13.587628865979381,16.014492753623188,12.288329519450802,13.700623700623701,61.94803856174332,Betulia
