,codmunre,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,codmunicipio,MUNICIPIO,codptore,DPTO
49,05306,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,05306,giraldo,05,Antioquia
50,05308,2,3,1,2,1,3,2,1,2,3,1,0,4,4,1,3,5,2,2,5,4,05308,girardota,05,Antioquia
51,05310,0,2,0,0,1,1,1,0,0,0,0,0,3,1,1,1,0,0,0,1,1,05310,gómez plata,05,Antioquia
52,05313,1,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,1,0,05313,granada,05,Antioquia
53,05315,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,05315,guadalupe,05,Antioquia
54,05318,1,0,2,0,1,2,1,0,2,1,2,2,0,0,4,5,0,1,3,6,1,05318,guarne,05,Antioquia
55,05321,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,05321,guatapé,05,Antioquia
56,05347,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,05347,heliconia,05,Antioquia
57,05353,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,05353,hispania,05,Antioquia
58,05360,12,18,8,14,10,10,18,19,15,12,10,16,21,11,16,14,17,16,23,28,25,05360,itagüí,05,Antioquia
59,05361,0,0,0,0,1,1,0,0,0,0,2,0,3,1,0,0,0,0,1,0,2,05361,ituango,05,Antioquia
60,05364,2,0,0,1,2,0,1,2,0,0,0,1,0,1,2,0,1,4,1,0,1,05364,jardín,05,Antioquia
61,05368,1,2,0,2,0,2,0,2,0,0,1,3,1,0,2,1,0,1,3,0,0,05368,jericó,05,Antioquia
62,05376,1,6,0,1,0,3,1,3,3,3,7,3,2,3,5,3,1,4,4,4,7,05376,la ceja,05,Antioquia
